class,x11,y11,z11,v11,x12,y12,z12,v12,x13,y13,z13,v13,x14,y14,z14,v14,x15,y15,z15,v15,x16,y16,z16,v16,x17,y17,z17,v17,x18,y18,z18,v18,x19,y19,z19,v19,x20,y20,z20,v20,x21,y21,z21,v21,x22,y22,z22,v22,x23,y23,z23,v23,x24,y24,z24,v24,x25,y25,z25,v25,x26,y26,z26,v26,x27,y27,z27,v27,x28,y28,z28,v28,x29,y29,z29,v29,x30,y30,z30,v30,x31,y31,z31,v31,x32,y32,z32,v32
jumping,0.636963487,0.273849726,-0.081888251,0.999910116,0.464385331,0.279095113,-0.206015527,0.999896049,0.722806871,0.285493612,-0.328965575,0.988331497,0.396457613,0.315916657,-0.41267553,0.986086369,0.731544852,0.212111086,-0.770408154,0.992020667,0.325206459,0.256778568,-0.803832889,0.98661685,0.746141076,0.190379709,-0.840736628,0.98131597,0.308672845,0.237075284,-0.882202327,0.974544168,0.739492536,0.186354905,-0.846973062,0.979957104,0.314651608,0.231200576,-0.898393035,0.974294424,0.731698275,0.194611251,-0.785864413,0.973918676,0.321378529,0.236471415,-0.820928156,0.963497818,0.579836667,0.450150847,0.086534418,0.999962091,0.490663409,0.439983904,-0.08640302,0.999885201,0.590834022,0.561366856,-0.145996198,0.953366518,0.530226648,0.499819398,-0.595331192,0.976017416,0.54607451,0.701452494,0.036903832,0.963776112,0.444218248,0.615645766,-0.405891925,0.938634217,0.534764886,0.719444275,0.043893132,0.901249647,0.423175871,0.618636906,-0.39347887,0.80086869,0.587467909,0.751610875,-0.164025038,0.959908426,0.45284006,0.66605109,-0.592982173,0.950272799
jumping,0.620757163,0.318286151,-0.137890577,0.999511361,0.348940194,0.319388419,-0.058191352,0.999385953,0.750524163,0.243608385,-0.414432734,0.992723405,0.198383391,0.25153175,-0.234458089,0.993774533,0.800324619,0.102149993,-0.700990975,0.990810513,0.083805293,0.110444516,-0.492762566,0.990064323,0.825383544,0.068007886,-0.788725555,0.979058444,0.059214536,0.076839387,-0.560742438,0.975029409,0.81448245,0.059642974,-0.776201844,0.97852999,0.067031056,0.068377316,-0.573976636,0.97597605,0.803064048,0.072859585,-0.715638816,0.979382038,0.075395942,0.07974714,-0.516573787,0.977058291,0.559555352,0.607758701,-0.010947905,0.999922633,0.38260901,0.613243043,0.01051155,0.999904275,0.680006742,0.797728896,-0.392912537,0.911181152,0.322482646,0.811376274,-0.416766793,0.943780184,0.578953505,0.667354167,0.743575335,0.178885043,0.347922027,0.707927585,0.758356273,0.198641717,0.571040094,0.668600619,0.876043618,0.182226092,0.362364233,0.650742173,0.897578418,0.239303768,0.58829844,0.735445738,0.988055706,0.155346438,0.346378744,0.747051895,1.071190476,0.170001477
jumping,0.571192384,0.31818372,0.180428445,0.999653578,0.339208752,0.275450975,0.080506958,0.99972564,0.577588975,0.444859266,0.190632701,0.892124653,0.290216833,0.375780553,-0.081277706,0.734565198,0.665706992,0.484898567,-0.025877176,0.930031121,0.226064116,0.374668747,-0.40055719,0.864734352,0.715112329,0.489029109,-0.05643905,0.906190753,0.194826216,0.369672656,-0.46911484,0.844340742,0.720303655,0.484531194,-0.117803074,0.91450268,0.200594634,0.360072672,-0.496524394,0.856202602,0.698824167,0.484185845,-0.059375729,0.918445587,0.212425053,0.360687196,-0.421893865,0.85342294,0.506738782,0.521119356,0.035519332,0.999664068,0.358233333,0.526715994,-0.035980213,0.999779642,0.653112233,0.666253209,0.042333558,0.970803618,0.343221426,0.72959435,-0.045641579,0.979417384,0.833996236,0.81645149,0.269856453,0.93780601,0.342684507,0.887341022,0.117314793,0.969460845,0.83964473,0.83364135,0.289106816,0.617114723,0.359454453,0.902226686,0.124586865,0.722042322,0.903873622,0.864775062,0.107785262,0.90942961,0.290526122,0.957055628,-0.12379913,0.946388006
jumping,0.576474488,0.209592372,-0.197500482,0.999758422,0.485939145,0.266605675,0.018221635,0.99889189,0.65414232,0.141502738,-0.377861381,0.991691589,0.481194347,0.343798459,0.151724368,0.550925434,0.661733985,0.015130728,-0.567538917,0.970644891,0.47081399,0.316518009,0.15229556,0.527472675,0.667770982,-0.020441353,-0.622441947,0.928416014,0.464479268,0.293053329,0.153685883,0.496341079,0.660728395,-0.021208495,-0.619802475,0.930014491,0.463445306,0.280714929,0.126520216,0.510143995,0.654318988,-0.005137771,-0.575447798,0.931055188,0.469121963,0.307450801,0.141977027,0.495905936,0.597467959,0.503748596,-0.089360803,0.999982595,0.526242614,0.493044138,0.089222796,0.999949455,0.542424262,0.696762323,-0.233251318,0.964020193,0.477481961,0.656706929,0.132294953,0.914866328,0.494723082,0.76091969,0.154077768,0.784227073,0.438176066,0.713378251,0.545678258,0.630997837,0.493229747,0.76232934,0.192800641,0.635219514,0.442876786,0.720465779,0.585469723,0.646124959,0.444101989,0.808449328,0.106671125,0.776534319,0.424582303,0.777834237,0.550985813,0.661022902
jumping,0.721748173,0.285589397,0.143587783,0.999842405,0.584999681,0.285717309,-0.004318288,0.999845982,0.805177331,0.221411854,-0.027224578,0.976021707,0.503411293,0.199360967,-0.129692525,0.99661535,0.863259196,0.163356051,-0.274109066,0.973962307,0.441216052,0.104102075,-0.131908983,0.991297722,0.882801831,0.143033206,-0.311517358,0.950158775,0.427083671,0.080773443,-0.159155041,0.976655006,0.878642559,0.13727349,-0.322597951,0.950748503,0.436407745,0.080700129,-0.157763034,0.976801932,0.872650385,0.145010471,-0.292446166,0.954678714,0.441336274,0.089277297,-0.141101733,0.97748214,0.703960955,0.555048883,0.070159376,0.999924064,0.602851629,0.561688066,-0.070198245,0.99992013,0.817594528,0.574080527,-0.525963902,0.96197325,0.605614364,0.577772677,-0.715148449,0.987949014,0.726943135,0.750800073,-0.391015232,0.934124708,0.665850878,0.755059481,-0.596848607,0.968923151,0.705545664,0.768697917,-0.376901537,0.934725285,0.66180861,0.769352317,-0.585708618,0.935067236,0.749885261,0.835223973,-0.529312372,0.946229994,0.691219687,0.843831658,-0.757872701,0.967522979
jumping,0.564058781,0.209676564,-0.268140823,0.999998808,0.455826521,0.232303828,-0.041302305,0.999997735,0.638267934,0.246802375,-0.279166728,0.996743381,0.38500011,0.279293358,-0.135095909,0.964258373,0.668501198,0.300299346,-0.285669416,0.990046918,0.370883703,0.224092022,-0.375756472,0.956434309,0.681436062,0.321886748,-0.308411837,0.972980738,0.363027632,0.209749371,-0.416838199,0.913047731,0.672270834,0.320704758,-0.327376246,0.97359091,0.366278857,0.197211817,-0.412697762,0.913329065,0.666341126,0.314665556,-0.29163003,0.96769923,0.373723686,0.206958383,-0.383150309,0.907905877,0.616373897,0.40017876,-0.066904984,0.999993205,0.552234888,0.408248425,0.067204528,0.999996662,0.679590702,0.520075142,-0.091407597,0.988001525,0.446669936,0.457733423,-0.197639689,0.994697452,0.705121338,0.482194632,0.229208976,0.899112701,0.405483127,0.615622699,-0.157101303,0.99418819,0.719373882,0.466544747,0.262092948,0.706617832,0.417028755,0.64389348,-0.154746503,0.968049884,0.734036863,0.496297956,0.21019724,0.849763632,0.346563667,0.63311106,-0.253203124,0.987368286
jumping,0.72469008,0.280497909,0.024075041,0.998826206,0.557205915,0.289561778,-0.068731911,0.999251783,0.83812201,0.245262191,-0.120711476,0.972789407,0.435000211,0.265213102,-0.164914861,0.993318439,0.896920264,0.1762712,-0.329408288,0.970879316,0.340145439,0.230961129,-0.328678757,0.987841427,0.913160384,0.158588618,-0.372638851,0.943507493,0.314785153,0.215869576,-0.370715588,0.97410202,0.904660225,0.154671371,-0.391223341,0.944741249,0.317606241,0.211511597,-0.387282461,0.976122141,0.897446096,0.161074579,-0.349876016,0.946552753,0.327375978,0.217653677,-0.345224142,0.975848675,0.704704404,0.476828277,0.032635,0.99995935,0.608342648,0.479384661,-0.032997798,0.999958396,0.731384575,0.622810781,-0.042489257,0.862559557,0.623809516,0.629864633,-0.164589599,0.938587308,0.64775914,0.582024455,0.665931523,0.196293011,0.56680876,0.590809345,0.598992884,0.287405372,0.634751976,0.562441349,0.746388197,0.211229116,0.550039709,0.563625038,0.687717438,0.292218477,0.613440216,0.621068537,0.805018485,0.227587014,0.534673929,0.624347687,0.781259596,0.307349265
jumping,0.505208015,0.382859617,-0.214174062,0.999891996,0.417376071,0.373417258,0.055202752,0.999769032,0.569319189,0.324997783,-0.300565094,0.996597946,0.328983456,0.323042184,0.125151917,0.982239962,0.65888387,0.275736302,-0.351525575,0.990704715,0.264041066,0.262154073,0.103076793,0.97628355,0.681940675,0.26308921,-0.387638777,0.976694345,0.248361617,0.245644301,0.102382705,0.94693315,0.679366052,0.260376155,-0.398300469,0.976377308,0.252176821,0.242365211,0.072255507,0.950210214,0.670404017,0.265488476,-0.362500876,0.978358924,0.25700295,0.248387009,0.08472959,0.952814579,0.494147658,0.545249641,-0.09317822,0.99998939,0.432149291,0.545251846,0.093155824,0.999990702,0.453509867,0.64771235,-0.263092279,0.954975605,0.399646908,0.647945344,-0.047710337,0.869459152,0.515695274,0.576577127,0.244982854,0.4278166,0.477817833,0.577546835,0.462888479,0.220174462,0.520717442,0.555508256,0.30394575,0.388704628,0.48298344,0.557974041,0.519947946,0.319919348,0.543484688,0.551617742,0.348014623,0.503085852,0.5118379,0.572826803,0.602057397,0.29283008
jumping,0.540244699,0.3269732,-0.560867667,0.999797523,0.519991338,0.293542653,-0.185158104,0.998220742,0.720727921,0.351094157,-0.62172699,0.987575531,0.633649528,0.297791958,-0.109912552,0.11729715,0.883872092,0.376075894,-0.663998604,0.933107972,0.744538903,0.310974091,-0.103986546,0.135283455,0.917682171,0.383030444,-0.719023883,0.881608129,0.775489628,0.314625412,-0.100932717,0.13812992,0.920503259,0.383672565,-0.732453287,0.871395946,0.772646189,0.31243062,-0.130089924,0.142332539,0.906331658,0.382772595,-0.674233139,0.834188163,0.759827852,0.311847091,-0.120043717,0.144125193,0.467556596,0.507477939,-0.139866874,0.999948263,0.439509422,0.497736841,0.140071869,0.999946952,0.564848065,0.675575614,-0.239904806,0.97878325,0.486802101,0.639548302,0.177317753,0.455617338,0.719600379,0.491897732,0.211094767,0.635980129,0.633140504,0.511780739,0.640936255,0.150141001,0.709363222,0.481813878,0.260769039,0.718621135,0.636200726,0.488867402,0.691588342,0.246298105,0.792651296,0.443165272,0.310521543,0.636207581,0.691786468,0.478916615,0.784528732,0.213424504
jumping,0.564929664,0.24728559,-0.077546902,0.999868989,0.375486255,0.27378273,-0.000631393,0.999845982,0.708733141,0.255330741,-0.30875203,0.998150229,0.227314726,0.300848484,-0.236732885,0.998311162,0.680550218,0.160429567,-0.497060537,0.996140778,0.236816123,0.205469877,-0.47966221,0.998026013,0.67557472,0.141112715,-0.534075201,0.984366655,0.242793038,0.18566227,-0.52823627,0.992356896,0.661249638,0.139162451,-0.501869261,0.982150912,0.260694206,0.182837486,-0.488566846,0.990929782,0.659272194,0.146198839,-0.489033341,0.980377853,0.262240887,0.189302653,-0.472036481,0.98762846,0.542983472,0.446279258,-0.046101045,0.999350607,0.42891407,0.4484936,0.04602297,0.999034524,0.558745086,0.561500728,-0.362266004,0.971098125,0.363250196,0.558407128,-0.286712438,0.955996454,0.488591313,0.711130142,-0.183037505,0.945828497,0.468983352,0.684428036,-0.029224584,0.891025126,0.485660285,0.727062941,-0.170970321,0.799072444,0.47864604,0.692055762,-0.010043034,0.791294336,0.470514327,0.781845331,-0.387872398,0.9088943,0.447993428,0.748749495,-0.189641908,0.852409363
